CARD NAME,RELEASE DATE,SET,RARITY,Shandalar ID,Gatherer ID,TYPE,COST,POWER,TOUGHNESS,TEXT,CTYPE,COLOR_IDENTITY
Living Plane,6/1/1994,Legends,Rare,.716,1533,World Enchantment,{2}{G}{G},,,All lands are 1/1 creatures that are still lands.,mono,{G}
Mana Matrix,6/1/1994,Legends,Rare,.721,1412,Artifact,{6},,,Instant and enchantment spells you cast cost up to {2} less to cast.,colorless,
Mirror Universe,6/1/1994,Legends,Rare,.725,1414,Artifact,{6},,,"{T}, Sacrifice Mirror Universe: Exchange life totals with target opponent. Activate this ability only during your upkeep.",colorless,
Moat,6/1/1994,Legends,Rare,.726,1626,Enchantment,{2}{W}{W},,,Creatures without flying can't attack.,mono,{W}
Mold Demon,6/1/1994,Legends,Rare,.727,1452,Creature - Fungus Demon,{5}{B}{B},6,6,"When Mold Deenters the battlefield, sacrifice it unless you sacrifice two Swamps.",mono,{B}
Nether Void,6/1/1994,Legends,Rare,.732,1453,World Enchantment,{3}{B},,,"Whenever a player casts a spell, counter it unless its controller pays {3}.",mono,{B}
Nicol Bolas,6/1/1994,Legends,Rare,.733,1672,Legendary Creature - Elder Dragon,{2}{U}{U}{B}{B}{R}{R},7,7,"Flying<br>At the beginning of your upkeep, sacrifice Nicol Bolas unless you pay {U}{B}{R}.<br>Whenever Nicol Bolas deals damage to an opponent, that player discards his or her hand.",multi,{U}{B}{R}
Palladia-Mors,6/1/1994,Legends,Rare,.737,1673,Legendary Creature - Elder Dragon,{2}{R}{R}{G}{G}{W}{W},7,7,"Flying, trample<br>At the beginning of your upkeep, sacrifice Palladia-Mors unless you pay {R}{G}{W}.",multi,{W}{R}{G}
Pixie Queen,6/1/1994,Legends,Rare,.743,1536,Creature - Faerie,{2}{G}{G},1,1,"Flying<br>{G}{G}{G}, {T}: Target creature gains flying until end of turn.",mono,{G}
Psionic Entity,6/1/1994,Legends,Rare,.749,1493,Creature - Illusion,{4}{U},2,2,{T}: Psionic Entity deals 2 damage to target creature or player and 3 damage to itself.,mono,{U}
Rapid Fire,6/1/1994,Legends,Rare,.761,1630,Instant,{3}{W},,,"Cast Rapid Fire only before blockers are declared.<br>Target creature gains first strike until end of turn. If it doesn't have rampage, that creature gains rampage 2 until end of turn. <i>(Whenever this creature becomes blocked, it gets +2/+2 until end of turn for each creature blocking it beyond the first.)</i>",mono,{W}
Rebirth,6/1/1994,Legends,Rare,.763,1540,Sorcery,{3}{G}{G}{G},,,"Remove Rebirth from your deck before playing if you're not playing for ante.<br><br>Each player may put the top card of his or her library into the ante. If a player does, his or her life total becomes 20.",mono,{G}
Revelation,6/1/1994,Legends,Rare,.772,1542,World Enchantment,{G},,,Players play with their hands revealed.,mono,{G}
Ring of Immortals,6/1/1994,Legends,Rare,.775,1420,Artifact,{5},,,"{3}, {T}: Counter target instant or Aura spell that targets a permanent you control.",colorless,
Rohgahh of Kher Keep,6/1/1994,Legends,Rare,.777,1681,Legendary Creature - Kobold,{2}{B}{B}{R}{R},5,5,"At the beginning of your upkeep, you may pay {R}{R}{R}. If you don't, tap Rohgahh of Kher Keep and all creatures named Kobolds of Kher Keep, then an opponent gains control of them.<br>Creatures you control named Kobolds of Kher Keep get +2/+2.",multi,{B}{R}
Rubinia Soulsinger,6/1/1994,Legends,Rare,.952,1682,Legendary Creature - Faerie,{2}{G}{W}{U},2,3,You may choose not to untap Rubinia Soulsinger during your untap step.<br>{T}: Gain control of target creature for as long as you control Rubinia and Rubinia remains tapped.,multi,{W}{U}{G}
Sentinel,6/1/1994,Legends,Rare,.783,1421,Artifact Creature - Shapeshifter,{4},1,1,{0}: Sentinel's toughness becomes 1 plus the power of target creature blocking or blocked by Sentinel. <i>(This effect lasts indefinitely.)</i>,colorless,
Serpent Generator,6/1/1994,Legends,Rare,.784,1422,Artifact,{6},,,"{4}, {T}: Put a 1/1 colorless Snake artifact creature token onto the battlefield. It has ""Whenever this creature deals damage to a player, that player gets a poison counter."" <i>(A player with ten or more poison counters loses the game.)</i>",colorless,
Sol'kanar the Swamp King,6/1/1994,Legends,Rare,.791,1685,Legendary Creature - Demon,{2}{U}{B}{R},5,5,"Swampwalk<br>Whenever a player casts a black spell, you gain 1 life.",multi,{U}{B}{R}
Spiritual Sanctuary,6/1/1994,Legends,Rare,.796,1636,Enchantment,{2}{W}{W},,,"At the beginning of each player's upkeep, if that player controls a Plains, he or she gains 1 life.",mono,{W}
Storm World,6/1/1994,Legends,Rare,.799,1591,World Enchantment,{R},,,"At the beginning of each player's upkeep, Storm World deals X damage to that player, where X is 4 minus the number of cards in his or her hand.",mono,{R}
Teleport,6/1/1994,Legends,Rare,.809,1506,Instant,{U}{U}{U},,,Cast Teleport only during the declare attackers step.<br>Target creature is unblockable this turn.,mono,{U}
Tempest Efreet,6/1/1994,Legends,Rare,.810,1592,Creature - Efreet,{1}{R}{R}{R},3,3,"Remove Tempest Efreet from your deck before playing if you're not playing for ante.<br>{T}, Sacrifice Tempest Efreet: Target opponent may pay 10 life. If that player doesn't, he or she reveals a card at random from his or her hand. Exchange ownership of the revealed card and Tempest Efreet. Put the revealed card into your hand and Tempest Efreet from anywhere into that player's graveyard.",mono,{R}
Tetsuo Umezawa,6/1/1994,Legends,Rare,.811,1688,Legendary Creature - Human Archer,{U}{B}{R},3,3,"Tetsuo Umezawa can't be the target of Aura spells.<br>{U}{B}{B}{R}, {T}: Destroy target tapped or blocking creature.",multi,{U}{B}{R}
The Abyss,6/1/1994,Legends,Rare,.812,1460,World Enchantment,{3}{B},,,"At the beginning of each player's upkeep, destroy target nonartifact creature that player controls of his or her choice. It can't be regenerated.",mono,{B}
The Tabernacle at Pendrell Vale,6/1/1994,Legends,Rare,.806,1690,Legendary Land,,,,"All creatures have ""At the beginning of your upkeep, destroy this creature unless you pay {1}.""",land,
Time Elemental,6/1/1994,Legends,Rare,.817,1507,Creature - Elemental,{2}{U},0,2,"When Time Elemental attacks or blocks, at end of combat, sacrifice it and it deals 5 damage to you.<br>{2}{U}{U}, {T}: Return target permanent that isn't enchanted to its owner's hand.",mono,{U}
Typhoon,6/1/1994,Legends,Rare,.827,1549,Sorcery,{2}{G},,,Typhoon deals damage to each opponent equal to the number of Islands that player controls.,mono,{G}
Willow Satyr,6/1/1994,Legends,Rare,.853,1552,Creature - Satyr,{2}{G}{G},1,1,You may choose not to untap Willow Satyr during your untap step.<br>{T}: Gain control of target legendary creature for as long as you control Willow Satyr and Willow Satyr remains tapped.,mono,{G}
Wood Elemental,6/1/1994,Legends,Rare,.857,1555,Creature - Elemental,{3}{G},0,0,"As Wood Elemental enters the battlefield, sacrifice any number of untapped Forests.<br>Wood Elemental's power and toughness are each equal to the number of Forests sacrificed as it entered the battlefield.",mono,{G}
Xira Arien,6/1/1994,Legends,Rare,.858,1697,Legendary Creature - Insect Wizard,{B}{R}{G},1,2,"Flying<br>{B}{R}{G}, {T}: Target player draws a card.",multi,{B}{R}{G}
Ashes to Ashes,8/1/1994,The Dark,Common,.294,1728,Sorcery,{1}{B}{B},,,Exile two target nonartifact creatures. Ashes to Ashes deals 5 damage to you.,mono,{B}
Bog Imp,8/1/1994,The Dark,Common,.336,1730,Creature - Imp,{1}{B},1,1,Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i>,mono,{B}
Bog Rats,8/1/1994,The Dark,Common,.350,1731,Creature - Rat,{B},1,1,Bog Rats can't be blocked by Walls.,mono,{B}
Brainwash,8/1/1994,The Dark,Common,.303,1803,Enchantment - Aura,{W},,,Enchant creature<br>Enchanted creature can't attack unless its controller pays {3}.,mono,{W}
Carnivorous Plant,8/1/1994,The Dark,Common,.305,1765,Creature - Plant Wall,{3}{G},4,5,Defender,mono,{G}
Dark Heart of the Wood,8/1/1994,The Dark,Common,.298,1820,Enchantment,{B}{G},,,Sacrifice a Forest: You gain 3 life.,multi,{B}{G}
Drowned,8/1/1994,The Dark,Common,.370,1750,Creature - Zombie,{1}{U},1,1,{B}: Regenerate Drowned.,mono,{U}{B}
Dust to Dust,8/1/1994,The Dark,Common,.311,1805,Sorcery,{1}{W}{W},,,Exile two target artifacts.,mono,{W}
Erosion,8/1/1994,The Dark,Common,.314,1752,Enchantment - Aura,{U}{U}{U},,,"Enchant land<br>At the beginning of the upkeep of enchanted land's controller, destroy that land unless that player pays {1} or 1 life.",mono,{U}
Fissure,8/1/1994,The Dark,Common,.321,1789,Instant,{3}{R}{R},,,Destroy target creature or land. It can't be regenerated.,mono,{R}
Gaea's Touch,8/1/1994,The Dark,Common,.334,1767,Enchantment,{G}{G},,,You may play an additional land during your turn if that land is a basic Forest.<br><br>Sacrifice Gaea's Touch: Add {G}{G} to your mana pool.,mono,{G}
Ghost Ship,8/1/1994,The Dark,Common,.326,1754,Creature - Spirit,{2}{U}{U},2,4,Flying<br>{U}{U}{U}: Regenerate Ghost Ship.,mono,{U}
Goblin Caves,8/1/1994,The Dark,Common,.329,1790,Enchantment - Aura,{1}{R}{R},,,"Enchant land<br>As long as enchanted land is a basic Mountain, Goblin creatures get +0/+2.",mono,{R}
Goblin Digging Team,8/1/1994,The Dark,Common,.936,1791,Creature - Goblin,{R},1,1,"{T}, Sacrifice Goblin Digging Team: Destroy target Wall.",mono,{R}
Goblin Hero,8/1/1994,The Dark,Common,.330,1792,Creature - Goblin,{2}{R},2,2,,mono,{R}
Goblin Rock Sled,8/1/1994,The Dark,Common,.937,1793,Creature - Goblin,{1}{R},3,1,Trample<br>Goblin Rock Sled doesn't untap during your untap step if it attacked during your last turn.<br>Goblin Rock Sled can't attack unless defending player controls a Mountain.,mono,{R}
Goblin Shrine,8/1/1994,The Dark,Common,.938,1794,Enchantment - Aura,{1}{R}{R},,,"Enchant land<br>As long as enchanted land is a basic Mountain, Goblin creatures get +1/+0.<br>When Goblin Shrine leaves the battlefield, it deals 1 damage to each Goblin creature.",mono,{R}
Goblins of the Flarg,8/1/1994,The Dark,Common,.332,1796,Creature - Goblin Warrior,{R},1,1,"Mountainwalk<br>When you control a Dwarf, sacrifice Goblins of the Flarg.",mono,{R}
Holy Light,8/1/1994,The Dark,Common,.375,1810,Instant,{2}{W},,,Nonwhite creatures get -1/-1 until end of turn.,mono,{W}
Inquisition,8/1/1994,The Dark,Common,.374,1736,Sorcery,{2}{B},,,Target player reveals his or her hand. Inquisition deals damage to that player equal to the number of white cards in his or her hand.,mono,{B}
Land Leeches,8/1/1994,The Dark,Common,.339,1769,Creature - Leech,{1}{G}{G},2,2,First strike,mono,{G}
Marsh Gas,8/1/1994,The Dark,Common,.365,1737,Instant,{B},,,All creatures get -2/-0 until end of turn.,mono,{B}
Marsh Goblins,8/1/1994,The Dark,Common,.366,1821,Creature - Goblin,{B}{R},1,1,Swampwalk,multi,{B}{R}
Marsh Viper,8/1/1994,The Dark,Common,.939,1771,Creature - Snake,{3}{G},1,2,"Whenever Marsh Viper deals damage to a player, that player gets two poison counters. <i>(A player with ten or more poison counters loses the game.)</i>",mono,{G}
Miracle Worker,8/1/1994,The Dark,Common,.941,1813,Creature - Human Cleric,{W},1,1,{T}: Destroy target Aura attached to a creature you control.,mono,{W}
Morale,8/1/1994,The Dark,Common,.347,1814,Instant,{1}{W}{W},,,Attacking creatures get +1/+1 until end of turn.,mono,{W}
Murk Dwellers,8/1/1994,The Dark,Common,.371,1738,Creature - Zombie,{3}{B},2,2,"Whenever Murk Dwellers attacks and isn't blocked, it gets +2/+0 until end of combat.",mono,{B}
Pikemen,8/1/1994,The Dark,Common,.942,1815,Creature - Human Soldier,{1}{W},1,1,"First strike; banding <i>(Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)</i>",mono,{W}
Riptide,8/1/1994,The Dark,Common,.355,1761,Instant,{U},,,Tap all blue creatures.,mono,{U}
Savaen Elves,8/1/1994,The Dark,Common,.944,1774,Creature - Elf,{G},1,1,"{G}{G}, {T}: Destroy target Aura attached to a land.",mono,{G}
Scarwood Goblins,8/1/1994,The Dark,Common,.946,1822,Creature - Goblin,{R}{G},2,2,Counts as both a green card and a red card.,multi,{R}{G}
Scavenger Folk,8/1/1994,The Dark,Common,.947,1777,Creature - Human,{G},1,1,"{G}, {T}, Sacrifice Scavenger Folk: Destroy target artifact.",mono,{G}
Squire,8/1/1994,The Dark,Common,.948,1817,Creature - Human Soldier,{1}{W},1,2,,mono,{W}
Sunken City,8/1/1994,The Dark,Common,.364,1762,Enchantment,{U}{U},,,"At the beginning of your upkeep, sacrifice Sunken City unless you pay {U}{U}.<br>Blue creatures get +1/+1.",mono,{U}
Venom,8/1/1994,The Dark,Common,.383,1780,Enchantment - Aura,{1}{G}{G},,,"Enchant creature<br>Whenever enchanted creature blocks or becomes blocked by a non-Wall creature, destroy the other creature at end of combat.",mono,{G}
Water Wurm,8/1/1994,The Dark,Common,.951,1764,Creature - Wurm,{U},1,1,Water Wurm gets +0/+1 as long as an opponent controls an Island.,mono,{U}
Word of Binding,8/1/1994,The Dark,Common,.388,1744,Sorcery,{X}{B}{B},,,Tap X target creatures.,mono,{B}
Amnesia,8/1/1994,The Dark,Uncommon,.292,1746,Sorcery,{3}{U}{U}{U},,,Target player reveals his or her hand and discards all nonland cards.,mono,{U}
Angry Mob,8/1/1994,The Dark,Uncommon,.293,1801,Creature - Human,{2}{W}{W},,,"Trample<br>As long as it's your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. As long as it's not your turn, Angry Mob's power and toughness are each 2.",mono,{W}
Banshee,8/1/1994,The Dark,Uncommon,.296,1729,Creature - Spirit,{2}{B}{B},0,1,"{X}, {T}: Banshee deals half X damage, rounded down, to target creature or player, and half X damage, rounded up, to you.",mono,{B}
Book of Rass,8/1/1994,The Dark,Uncommon,.353,1710,Artifact,{6},,,"{2}, Pay 2 life: Draw a card.",colorless,
Cave People,8/1/1994,The Dark,Uncommon,.306,1786,Creature - Human,{1}{R}{R},1,4,"Whenever Cave People attacks, it gets +1/-2 until end of turn.<br>{1}{R}{R}, {T}: Target creature gains mountainwalk until end of turn.",mono,{R}
Diabolic Machine,8/1/1994,The Dark,Uncommon,.376,1713,Artifact Creature - Construct,{7},4,4,{3}: Regenerate Diabolic Machine.,colorless,
Eater of the Dead,8/1/1994,The Dark,Uncommon,.312,1733,Creature - Horror,{4}{B},3,4,"{0}: If Eater of the Dead is tapped, exile target creature card from a graveyard and untap Eater of the Dead.",mono,{B}
Electric Eel,8/1/1994,The Dark,Uncommon,.933,1751,Creature - Fish,{U},1,1,"When Electric Eel enters the battlefield, it deals 1 damage to you.<br>{R}{R}: Electric Eel gets +2/+0 until end of turn and deals 1 damage to you.",mono,{U}{R}
Fire and Brimstone,8/1/1994,The Dark,Uncommon,.319,1809,Instant,{3}{W}{W},,,Fire and Brimstone deals 4 damage to target player who declared an attacking creature this turn and 4 damage to you.,mono,{W}
Maze of Ith,8/1/1994,The Dark,Uncommon,.377,1824,Land,,,,{T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.,land,
Merfolk Assassin,8/1/1994,The Dark,Uncommon,.940,1758,Creature - Merfolk Assassin,{U}{U},1,2,{T}: Destroy target creature with islandwalk.,mono,{U}
Necropolis,8/1/1994,The Dark,Uncommon,.348,1717,Artifact Creature - Wall,{5},0,1,"Defender <i>(This creature can't attack.)</i><br>Exile a creature card from your graveyard: Put X +0/+1 counters on Necropolis, where X is the exiled card's converted mana cost.",colorless,
Orc General,8/1/1994,The Dark,Uncommon,.349,1799,Creature - Orc Warrior,{2}{R},2,2,"{T}, Sacrifice another Orc or Goblin: Other Orc creatures get +1/+1 until end of turn.",mono,{R}
People of the Woods,8/1/1994,The Dark,Uncommon,.323,1773,Creature - Human,{G}{G},1,*,People of the Woods's toughness is equal to the number of Forests you control.,mono,{G}
Scarecrow,8/1/1994,The Dark,Uncommon,.358,1720,Artifact Creature - Scarecrow,{5},2,2,"{6}, {T}: Prevent all damage that would be dealt to you this turn by creatures with flying.",colorless,
Scarwood Hag,8/1/1994,The Dark,Uncommon,.322,1776,Creature - Hag,{1}{G},1,1,"{G}{G}{G}{G}, {T}: Target creature gains forestwalk until end of turn.<br>{T}: Target creature loses forestwalk until end of turn.",mono,{G}
Skull of Orm,8/1/1994,The Dark,Uncommon,.361,1721,Artifact,{3},,,"{5}, {T}: Return target enchantment card from your graveyard to your hand.",colorless,
Tivadar's Crusade,8/1/1994,The Dark,Uncommon,.950,1818,Sorcery,{1}{W}{W},,,Destroy all Goblins.,mono,{W}
Tower of Coireall,8/1/1994,The Dark,Uncommon,.379,1725,Artifact,{2},,,{T}: Target creature can't be blocked by Walls this turn.,colorless,
Uncle Istvan,8/1/1994,The Dark,Uncommon,.382,1743,Creature - Human,{1}{B}{B}{B},1,3,Prevent all damage that would be dealt to Uncle Istvan by creatures.,mono,{B}
War Barge,8/1/1994,The Dark,Uncommon,.385,1727,Artifact,{4},,,"{3}: Target creature gains islandwalk until end of turn. When War Barge leaves the battlefield this turn, destroy that creature. A creature destroyed this way can't be regenerated.",colorless,
Ball Lightning,8/1/1994,The Dark,Rare,.295,1783,Creature - Elemental,{R}{R}{R},6,1,"Trample <i>(If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)</i><br>Haste <i>(This creature can attack and {T} as soon as it comes under your control.)</i><br>At the beginning of the end step, sacrifice Ball Lightning.",mono,{R}
Barl's Cage,8/1/1994,The Dark,Rare,.297,1708,Artifact,{4},,,{3}: Target creature doesn't untap during its controller's next untap step.,colorless,
Blood Moon,8/1/1994,The Dark,Rare,.299,1784,Enchantment,{2}{R},,,Nonbasic lands are Mountains.,mono,{R}
Eternal Flame,8/1/1994,The Dark,Rare,.315,1787,Sorcery,{2}{R}{R},,,"Eternal Flame deals X damage to target opponent, where X is the number of Mountains you control. It deals half X damage, rounded up, to you.",mono,{R}
Grave Robbers,8/1/1994,The Dark,Rare,.333,1735,Creature - Human Rogue,{1}{B}{B},1,1,"{B}, {T}: Exile target artifact card from a graveyard. You gain 2 life.",mono,{B}
Hidden Path,8/1/1994,The Dark,Rare,.335,1768,Enchantment,{2}{G}{G}{G}{G},,,Green creatures have forestwalk.,mono,{G}
Inferno,8/1/1994,The Dark,Rare,.337,1797,Instant,{5}{R}{R},,,Inferno deals 6 damage to each creature and each player.,mono,{R}
Leviathan,8/1/1994,The Dark,Rare,.340,1756,Creature - Leviathan,{5}{U}{U}{U}{U},10,10,"Trample<br>Leviathan enters the battlefield tapped and doesn't untap during your untap step.<br>At the beginning of your upkeep, you may sacrifice two Islands. If you do, untap Leviathan.<br>Leviathan can't attack unless you sacrifice two Islands.",mono,{U}
Lurker,8/1/1994,The Dark,Rare,.342,1770,Creature - Beast,{2}{G},2,3,Lurker can't be the target of spells unless it attacked or blocked this turn.,mono,{G}
Mana Clash,8/1/1994,The Dark,Rare,.343,1798,Sorcery,{R},,,You and target opponent each flip a coin. Mana Clash deals 1 damage to each player whose coin comes up tails. Repeat this process until both players' coins come up heads on the same flip.,mono,{R}
Martyr's Cry,8/1/1994,The Dark,Rare,.345,1812,Sorcery,{W}{W},,,"Exile all white creatures. For each creature exiled this way, its controller draws a card.",mono,{W}
Niall Silvain,8/1/1994,The Dark,Rare,.373,1772,Creature - Ouphe,{G}{G}{G},2,2,"{G}{G}{G}{G}, {T}: Regenerate target creature.",mono,{G}
Rag Man,8/1/1994,The Dark,Rare,.943,1740,Creature - Human Minion,{2}{B}{B},2,1,"{B}{B}{B}, {T}: Target opponent reveals his or her hand and discards a creature card at random. Activate this ability only during your turn.",mono,{B}
Safe Haven,8/1/1994,The Dark,Rare,.357,1825,Land,,,,"{2}, {T}: Exile target creature you control.<br>At the beginning of your upkeep, you may sacrifice Safe Haven. If you do, return each card exiled with Safe Haven to the battlefield under its owner's control.",land,
Worms of the Earth,8/1/1994,The Dark,Rare,.390,1745,Enchantment,{2}{B}{B}{B},,,"Players can't play lands.<br>Lands can't enter the battlefield.<br>At the beginning of each upkeep, any player may sacrifice two lands or have Worms of the Earth deal 5 damage to him or her. If a player does either, destroy Worms of the Earth.",mono,{B}
Armor Thrull,11/1/1994,Fallen Empires,Common,.1750,1838,Creature - Thrull,{2}{B},1,3,"{T}, Sacrifice Armor Thrull: Put a +1/+2 counter on target creature.",mono,{B}
Basal Thrull,11/1/1994,Fallen Empires,Common,.1752,1842,Creature - Thrull,{B}{B},1,2,"{T}, Sacrifice Basal Thrull: Add {B}{B} to your mana pool.",mono,{B}
Brassclaw Orcs,11/1/1994,Fallen Empires,Common,.1754,1937,Creature - Orc,{2}{R},3,2,Brassclaw Orcs can't block creatures with power 2 or greater.,mono,{R}
Dwarven Soldier,11/1/1994,Fallen Empires,Common,.1768,1944,Creature - Dwarf Soldier,{1}{R},2,1,"Whenever Dwarven Soldier blocks or becomes blocked by one or more Orcs, Dwarven Soldier gets +0/+2 until end of turn.",mono,{R}
Elven Fortress,11/1/1994,Fallen Empires,Common,.1771,1904,Enchantment,{G},,,{1}{G}: Target blocking creature gets +0/+1 until end of turn.,mono,{G}
Elvish Hunter,11/1/1994,Fallen Empires,Common,.1774,1909,Creature - Elf Archer,{1}{G},1,1,"{1}{G}, {T}: Target creature doesn't untap during its controller's next untap step.",mono,{G}
Elvish Scout,11/1/1994,Fallen Empires,Common,.1775,1912,Creature - Elf Scout,{G},1,1,"{G}, {T}: Untap target attacking creature you control. Prevent all combat damage that would be dealt to and dealt by it this turn.",mono,{G}
Goblin Chirurgeon,11/1/1994,Fallen Empires,Common,.1781,1947,Creature - Goblin Shaman,{R},0,2,Sacrifice a Goblin: Regenerate target creature.,mono,{R}
High Tide,11/1/1994,Fallen Empires,Common,.1790,1872,Instant,{U},,,"Until end of turn, whenever a player taps an Island for mana, that player adds {U} to his or her mana pool <i>(in addition to the mana the land produces)</i>.",mono,{U}
Homarid,11/1/1994,Fallen Empires,Common,.1792,1875,Creature - Homarid,{2}{U},2,2,"Homarid enters the battlefield with a tide counter on it.<br>At the beginning of your upkeep, put a tide counter on Homarid.<br>As long as there is exactly one tide counter on Homarid, it gets -1/-1.<br>As long as there are exactly three tide counters on Homarid, it gets +1/+1.<br>Whenever there are four tide counters on Homarid, remove all tide counters from it.",mono,{U}
Hymn to Tourach,11/1/1994,Fallen Empires,Common,.1456,1849,Sorcery,{B}{B},,,Target player discards two cards at random.,mono,{B}
Icatian Infantry,11/1/1994,Fallen Empires,Common,.1796,1981,Creature - Human Soldier,{W},1,1,"{1}: Icatian Infantry gains first strike until end of turn.<br>{1}: Icatian Infantry gains banding until end of turn. <i>(Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)</i>",mono,{W}
Icatian Javelineers,11/1/1994,Fallen Empires,Common,.1797,1985,Creature - Human Soldier,{W},1,1,"Icatian Javelineers enters the battlefield with a javelin counter on it.<br>{T}, Remove a javelin counter from Icatian Javelineers: Icatian Javelineers deals 1 damage to target creature or player.",mono,{W}
Icatian Scout,11/1/1994,Fallen Empires,Common,.1802,1994,Creature - Human Soldier Scout,{W},1,1,"{1}, {T}: Target creature gains first strike until end of turn.",mono,{W}
Orcish Spy,11/1/1994,Fallen Empires,Common,.1104,1961,Creature - Orc Rogue,{R},1,1,{T}: Look at the top three cards of target player's library.,mono,{R}
Orcish Veteran,11/1/1994,Fallen Empires,Common,.1812,1939,Creature - Orc,{2}{R},2,2,Orcish Veteran can't block white creatures with power 2 or greater.<br>{R}: Orcish Veteran gains first strike until end of turn.,mono,{R}
Order of Leitbur,11/1/1994,Fallen Empires,Common,.1555,2000,Creature - Human Cleric Knight,{W}{W},2,1,Protection from black<br>{W}: Order of Leitbur gains first strike until end of turn.<br>{W}{W}: Order of Leitbur gets +1/+0 until end of turn.,mono,{W}
Order of the Ebon Hand,11/1/1994,Fallen Empires,Common,.1556,1862,Creature - Cleric Knight,{B}{B},2,1,Protection from white<br>{B}: Order of the Ebon Hand gains first strike until end of turn.<br>{B}{B}: Order of the Ebon Hand gets +1/+0 until end of turn.,mono,{B}
Spore Cloud,11/1/1994,Fallen Empires,Common,.1823,1920,Instant,{1}{G}{G},,,Tap all blocking creatures. Prevent all combat damage that would be dealt this turn. Each attacking creature and each blocking creature doesn't untap during its controller's next untap step.,mono,{G}
Thallid,11/1/1994,Fallen Empires,Common,.1827,1927,Creature - Fungus,{G},1,1,"At the beginning of your upkeep, put a spore counter on Thallid.<br>Remove three spore counters from Thallid: Put a 1/1 green Saproling creature token onto the battlefield.",mono,{G}
Thorn Thallid,11/1/1994,Fallen Empires,Common,.1833,1934,Creature - Fungus,{1}{G}{G},2,2,"At the beginning of your upkeep, put a spore counter on Thorn Thallid.<br>Remove three spore counters from Thorn Thallid: Thorn Thallid deals 1 damage to target creature or player.",mono,{G}
Vodalian Mage,11/1/1994,Fallen Empires,Common,.1841,1896,Creature - Merfolk Wizard,{2}{U},1,1,"{U}, {T}: Counter target spell unless its controller pays {1}.",mono,{U}
Vodalian Soldiers,11/1/1994,Fallen Empires,Common,.1842,1899,Creature - Merfolk Soldier,{1}{U},1,2,,mono,{U}
Breeding Pit,11/1/1994,Fallen Empires,Uncommon,.1755,1846,Enchantment,{3}{B},,,"At the beginning of your upkeep, sacrifice Breeding Pit unless you pay {B}{B}.<br>At the beginning of your end step, put a 0/1 black Thrull creature token onto the battlefield.",mono,{B}
Dwarven Catapult,11/1/1994,Fallen Empires,Uncommon,.1764,1942,Instant,{X}{R},,,"Dwarven Catapult deals X damage divided evenly, rounded down, among all creatures target opponent controls.",mono,{R}
Dwarven Lieutenant,11/1/1994,Fallen Empires,Uncommon,.1766,1943,Creature - Dwarf Soldier,{R}{R},1,2,{1}{R}: Target Dwarf creature gets +1/+0 until end of turn.,mono,{R}
Homarid Spawning Bed,11/1/1994,Fallen Empires,Uncommon,.1794,1880,Enchantment,{U}{U},,,"{1}{U}{U}, Sacrifice a blue creature: Put X 1/1 blue Camarid creature tokens onto the battlefield, where X is the sacrificed creature's converted mana cost.",mono,{U}
Icatian Priest,11/1/1994,Fallen Empires,Uncommon,.1801,1993,Creature - Human Cleric,{W},1,1,{1}{W}{W}: Target creature gets +1/+1 until end of turn.,mono,{W}
Seasinger,11/1/1994,Fallen Empires,Uncommon,.1820,1889,Creature - Merfolk,{1}{U}{U},0,1,"When you control no Islands, sacrifice Seasinger.<br>You may choose not to untap Seasinger during your untap step.<br>{T}: Gain control of target creature whose controller controls an Island for as long as you control Seasinger and Seasinger remains tapped.",mono,{U}
Spore Flower,11/1/1994,Fallen Empires,Uncommon,.1824,1923,Creature - Fungus,{G}{G},0,1,"At the beginning of your upkeep, put a spore counter on Spore Flower.<br>Remove three spore counters from Spore Flower: Prevent all combat damage that would be dealt this turn.",mono,{G}
Thelonite Druid,11/1/1994,Fallen Empires,Uncommon,.1831,1931,Creature - Human Cleric Druid,{2}{G},1,1,"{1}{G}, {T}, Sacrifice a creature: Forests you control become 2/3 creatures until end of turn. They're still lands.",mono,{G}
Tidal Influence,11/1/1994,Fallen Empires,Uncommon,.1838,1894,Enchantment,{2}{U},,,"Cast Tidal Influence only if no permanents named Tidal Influence are on the battlefield.<br>Tidal Influence enters the battlefield with a tide counter on it.<br>At the beginning of your upkeep, put a tide counter on Tidal Influence.<br>As long as there is exactly one tide counter on Tidal Influence, all blue creatures get -2/-0.<br>As long as there are exactly three tide counters on Tidal Influence, all blue creatures get +2/+0.<br>Whenever there are four tide counters on Tidal Influence, remove all tide counters from it.",mono,{U}
